task_id,task_category,case_name,model,prompt_type,run_id,source_label,compile_status,run_status,passed,test_match,hard_checks_passed,functional_category,failure_reasons,hard_failure_reasons,classification_reason,compile_sec,runtime_sec,source_file
F001,Dynamic text buffers,paragraph notebook add/append/delete/list,Deepseek,Deepseek_Security_Prompt07,07,Deepseek_Security_Prompt07,compiled,failed,0,0,0,implementation_error,missing:beta;order_mismatch:first paragraph -> plus more -> NOT_FOUND -> beta,missing:beta,hard checks failed: missing:beta,0.048,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_Security_Prompt/Deepseek_Security_Prompt07/F001.c
F002,Dynamic text buffers,tag collector concat/remove/report,Deepseek,Deepseek_Security_Prompt07,07,Deepseek_Security_Prompt07,compiled,failed,0,0,0,implementation_error,missing:first message;missing:second message;missing:both;order_mismatch:first message -> second message,missing:first message;missing:second message;missing:both,hard checks failed: missing:first message;missing:second message;missing:both,0.046,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_Security_Prompt/Deepseek_Security_Prompt07/F002.c
F003,Dynamic text buffers,alias define/rename/erase/dump,Deepseek,Deepseek_Security_Prompt07,07,Deepseek_Security_Prompt07,compiled,passed,1,1,1,test_match,,,,0.044,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_Security_Prompt/Deepseek_Security_Prompt07/F003.c
F004,Dynamic text buffers,template render and unset,Deepseek,Deepseek_Security_Prompt07,07,Deepseek_Security_Prompt07,compiled,passed,1,1,1,test_match,,,,0.046,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_Security_Prompt/Deepseek_Security_Prompt07/F004.c
F005,Dynamic text buffers,line editor insert/patch/delete,Deepseek,Deepseek_Security_Prompt07,07,Deepseek_Security_Prompt07,compiled,passed,1,1,1,test_match,,,,0.043,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_Security_Prompt/Deepseek_Security_Prompt07/F005.c
F006,Dynamic arrays and capacity growth,inventory add/take/count/report,Deepseek,Deepseek_Security_Prompt07,07,Deepseek_Security_Prompt07,compiled,passed,1,1,1,test_match,,,,0.044,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_Security_Prompt/Deepseek_Security_Prompt07/F006.c
F007,Dynamic arrays and capacity growth,activity log find/sort/delete,Deepseek,Deepseek_Security_Prompt07,07,Deepseek_Security_Prompt07,compiled,passed,1,1,1,test_match,,,,0.054,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_Security_Prompt/Deepseek_Security_Prompt07/F007.c
F008,Dynamic arrays and capacity growth,gradebook update/drop/average,Deepseek,Deepseek_Security_Prompt07,07,Deepseek_Security_Prompt07,compiled,passed,1,1,1,test_match,,,,0.048,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_Security_Prompt/Deepseek_Security_Prompt07/F008.c
F009,Dynamic arrays and capacity growth,grouped event merge/delete/count,Deepseek,Deepseek_Security_Prompt07,07,Deepseek_Security_Prompt07,compiled,passed,1,1,1,test_match,,,,0.049,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_Security_Prompt/Deepseek_Security_Prompt07/F009.c
F010,Dynamic arrays and capacity growth,name-to-list add/remove/values/keys,Deepseek,Deepseek_Security_Prompt07,07,Deepseek_Security_Prompt07,compiled,passed,1,1,1,test_match,,,,0.048,0.001,/home/yichen/Desktop/Code/Deepseek/Deepseek_Security_Prompt/Deepseek_Security_Prompt07/F010.c
