task_id,task_category,case_name,model,prompt_type,run_id,source_label,compile_status,run_status,passed,test_match,hard_checks_passed,functional_category,failure_reasons,hard_failure_reasons,classification_reason,compile_sec,runtime_sec,source_file
F001,Dynamic text buffers,paragraph notebook add/append/delete/list,Gemini,General Secure C Principles,04,Gemini_GSCP04,compiled,passed,1,1,1,test_match,,,,0.047,0.001,/home/yichen/Desktop/Code/Gemini/Gemini_GSCP_Code/Gemini_GSCP04/F001.c
F002,Dynamic text buffers,tag collector concat/remove/report,Gemini,General Secure C Principles,04,Gemini_GSCP04,compiled,passed,1,1,1,test_match,,,,0.045,0.001,/home/yichen/Desktop/Code/Gemini/Gemini_GSCP_Code/Gemini_GSCP04/F002.c
F003,Dynamic text buffers,alias define/rename/erase/dump,Gemini,General Secure C Principles,04,Gemini_GSCP04,compiled,passed,1,1,1,test_match,,,,0.045,0.001,/home/yichen/Desktop/Code/Gemini/Gemini_GSCP_Code/Gemini_GSCP04/F003.c
F004,Dynamic text buffers,template render and unset,Gemini,General Secure C Principles,04,Gemini_GSCP04,compiled,passed,1,1,1,test_match,,,,0.043,0.001,/home/yichen/Desktop/Code/Gemini/Gemini_GSCP_Code/Gemini_GSCP04/F004.c
F005,Dynamic text buffers,line editor insert/patch/delete,Gemini,General Secure C Principles,04,Gemini_GSCP04,compiled,passed,1,1,1,test_match,,,,0.044,0.001,/home/yichen/Desktop/Code/Gemini/Gemini_GSCP_Code/Gemini_GSCP04/F005.c
F006,Dynamic arrays and capacity growth,inventory add/take/count/report,Gemini,General Secure C Principles,04,Gemini_GSCP04,compiled,passed,1,1,1,test_match,,,,0.045,0.001,/home/yichen/Desktop/Code/Gemini/Gemini_GSCP_Code/Gemini_GSCP04/F006.c
F007,Dynamic arrays and capacity growth,activity log find/sort/delete,Gemini,General Secure C Principles,04,Gemini_GSCP04,compiled,passed,1,1,1,test_match,,,,0.045,0.001,/home/yichen/Desktop/Code/Gemini/Gemini_GSCP_Code/Gemini_GSCP04/F007.c
F008,Dynamic arrays and capacity growth,gradebook update/drop/average,Gemini,General Secure C Principles,04,Gemini_GSCP04,compiled,passed,1,1,1,test_match,,,,0.046,0.001,/home/yichen/Desktop/Code/Gemini/Gemini_GSCP_Code/Gemini_GSCP04/F008.c
F009,Dynamic arrays and capacity growth,grouped event merge/delete/count,Gemini,General Secure C Principles,04,Gemini_GSCP04,compiled,passed,1,1,1,test_match,,,,0.059,0.001,/home/yichen/Desktop/Code/Gemini/Gemini_GSCP_Code/Gemini_GSCP04/F009.c
F010,Dynamic arrays and capacity growth,name-to-list add/remove/values/keys,Gemini,General Secure C Principles,04,Gemini_GSCP04,compiled,passed,1,1,1,test_match,,,,0.052,0.001,/home/yichen/Desktop/Code/Gemini/Gemini_GSCP_Code/Gemini_GSCP04/F010.c
F011,Ownership and lifetime workflows,draft revise/discard/restore,Gemini,General Secure C Principles,04,Gemini_GSCP04,compiled,passed,1,1,1,test_match,,,,0.049,0.001,/home/yichen/Desktop/Code/Gemini/Gemini_GSCP_Code/Gemini_GSCP04/F011.c
