task_id,task_category,case_name,model,prompt_type,run_id,source_label,compile_status,run_status,passed,test_match,hard_checks_passed,functional_category,failure_reasons,hard_failure_reasons,classification_reason,compile_sec,runtime_sec,source_file
F001,Dynamic text buffers,paragraph notebook add/append/delete/list,Gemini,Gemini_Security_Prompt06,06,Gemini_Security_Prompt06,compiled,passed,1,1,1,test_match,,,,0.043,0.001,/home/yichen/Desktop/Code/Gemini/Gemini_Security_Prompt/Gemini_Security_Prompt06/F001.c
F002,Dynamic text buffers,tag collector concat/remove/report,Gemini,Gemini_Security_Prompt06,06,Gemini_Security_Prompt06,compiled,passed,1,1,1,test_match,,,,0.042,0.001,/home/yichen/Desktop/Code/Gemini/Gemini_Security_Prompt/Gemini_Security_Prompt06/F002.c
F003,Dynamic text buffers,alias define/rename/erase/dump,Gemini,Gemini_Security_Prompt06,06,Gemini_Security_Prompt06,compiled,passed,1,1,1,test_match,,,,0.041,0.001,/home/yichen/Desktop/Code/Gemini/Gemini_Security_Prompt/Gemini_Security_Prompt06/F003.c
F004,Dynamic text buffers,template render and unset,Gemini,Gemini_Security_Prompt06,06,Gemini_Security_Prompt06,compiled,passed,1,1,1,test_match,,,,0.041,0.001,/home/yichen/Desktop/Code/Gemini/Gemini_Security_Prompt/Gemini_Security_Prompt06/F004.c
F005,Dynamic text buffers,line editor insert/patch/delete,Gemini,Gemini_Security_Prompt06,06,Gemini_Security_Prompt06,compiled,passed,1,1,1,test_match,,,,0.039,0.001,/home/yichen/Desktop/Code/Gemini/Gemini_Security_Prompt/Gemini_Security_Prompt06/F005.c
F006,Dynamic arrays and capacity growth,inventory add/take/count/report,Gemini,Gemini_Security_Prompt06,06,Gemini_Security_Prompt06,compiled,passed,1,1,1,test_match,,,,0.040,0.001,/home/yichen/Desktop/Code/Gemini/Gemini_Security_Prompt/Gemini_Security_Prompt06/F006.c
F007,Dynamic arrays and capacity growth,activity log find/sort/delete,Gemini,Gemini_Security_Prompt06,06,Gemini_Security_Prompt06,compiled,passed,1,1,1,test_match,,,,0.042,0.001,/home/yichen/Desktop/Code/Gemini/Gemini_Security_Prompt/Gemini_Security_Prompt06/F007.c
F008,Dynamic arrays and capacity growth,gradebook update/drop/average,Gemini,Gemini_Security_Prompt06,06,Gemini_Security_Prompt06,compiled,passed,1,1,1,test_match,,,,0.041,0.001,/home/yichen/Desktop/Code/Gemini/Gemini_Security_Prompt/Gemini_Security_Prompt06/F008.c
F009,Dynamic arrays and capacity growth,grouped event merge/delete/count,Gemini,Gemini_Security_Prompt06,06,Gemini_Security_Prompt06,compiled,passed,1,1,1,test_match,,,,0.042,0.001,/home/yichen/Desktop/Code/Gemini/Gemini_Security_Prompt/Gemini_Security_Prompt06/F009.c
F010,Dynamic arrays and capacity growth,name-to-list add/remove/values/keys,Gemini,Gemini_Security_Prompt06,06,Gemini_Security_Prompt06,compiled,passed,1,1,1,test_match,,,,0.042,0.001,/home/yichen/Desktop/Code/Gemini/Gemini_Security_Prompt/Gemini_Security_Prompt06/F010.c
F011,Ownership and lifetime workflows,draft revise/discard/restore,Gemini,Gemini_Security_Prompt06,06,Gemini_Security_Prompt06,compiled,passed,1,1,1,test_match,,,,0.049,0.001,/home/yichen/Desktop/Code/Gemini/Gemini_Security_Prompt/Gemini_Security_Prompt06/F011.c
