task_id,task_category,case_name,model,prompt_type,run_id,source_label,compile_status,run_status,passed,test_match,hard_checks_passed,functional_category,failure_reasons,hard_failure_reasons,classification_reason,compile_sec,runtime_sec,source_file
F001,Dynamic text buffers,paragraph notebook add/append/delete/list,Qwen,General Secure C Principles,06,Qwen_GSCP06,compiled,passed,1,1,1,test_match,,,,0.045,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_GSCP_Code/Qwen_GSCP06/F001.c
F002,Dynamic text buffers,tag collector concat/remove/report,Qwen,General Secure C Principles,06,Qwen_GSCP06,compiled,passed,1,1,1,test_match,,,,0.042,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_GSCP_Code/Qwen_GSCP06/F002.c
F003,Dynamic text buffers,alias define/rename/erase/dump,Qwen,General Secure C Principles,06,Qwen_GSCP06,compiled,passed,1,1,1,test_match,,,,0.042,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_GSCP_Code/Qwen_GSCP06/F003.c
F004,Dynamic text buffers,template render and unset,Qwen,General Secure C Principles,06,Qwen_GSCP06,compiled,passed,1,1,1,test_match,,,,0.043,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_GSCP_Code/Qwen_GSCP06/F004.c
F005,Dynamic text buffers,line editor insert/patch/delete,Qwen,General Secure C Principles,06,Qwen_GSCP06,compiled,passed,1,1,1,test_match,,,,0.043,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_GSCP_Code/Qwen_GSCP06/F005.c
F006,Dynamic arrays and capacity growth,inventory add/take/count/report,Qwen,General Secure C Principles,06,Qwen_GSCP06,compiled,passed,1,1,1,test_match,,,,0.042,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_GSCP_Code/Qwen_GSCP06/F006.c
F007,Dynamic arrays and capacity growth,activity log find/sort/delete,Qwen,General Secure C Principles,06,Qwen_GSCP06,compiled,failed,0,0,0,implementation_error,missing:beta;missing:later note;order_mismatch:10 -> alpha -> 20 -> beta,missing:beta;missing:later note,hard checks failed: missing:beta;missing:later note,0.043,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_GSCP_Code/Qwen_GSCP06/F007.c
F008,Dynamic arrays and capacity growth,gradebook update/drop/average,Qwen,General Secure C Principles,06,Qwen_GSCP06,compiled,passed,1,1,1,test_match,,,,0.040,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_GSCP_Code/Qwen_GSCP06/F008.c
F009,Dynamic arrays and capacity growth,grouped event merge/delete/count,Qwen,General Secure C Principles,06,Qwen_GSCP06,compiled,passed,1,1,1,test_match,,,,0.040,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_GSCP_Code/Qwen_GSCP06/F009.c
F010,Dynamic arrays and capacity growth,name-to-list add/remove/values/keys,Qwen,General Secure C Principles,06,Qwen_GSCP06,compile_failed,not_run,0,0,0,implementation_error,compile_failed,compile_failed,compile did not produce a runnable program,0.014,,/home/yichen/Desktop/Code/Qwen/Qwen_GSCP_Code/Qwen_GSCP06/F010.c
F011,Ownership and lifetime workflows,draft revise/discard/restore,Qwen,General Secure C Principles,06,Qwen_GSCP06,compiled,passed,1,1,1,test_match,,,,0.039,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_GSCP_Code/Qwen_GSCP06/F011.c
