task_id,task_category,case_name,model,prompt_type,run_id,source_label,compile_status,run_status,passed,test_match,hard_checks_passed,functional_category,failure_reasons,hard_failure_reasons,classification_reason,compile_sec,runtime_sec,source_file
F001,Dynamic text buffers,paragraph notebook add/append/delete/list,Qwen,Security Design First,06,Qwen_SDF06,compiled,failed,0,0,0,implementation_error,missing:first paragraph;missing:plus more;missing:NOT_FOUND;missing:beta;order_mismatch:first paragraph -> plus more -> NOT_FOUND -> beta,missing:first paragraph;missing:plus more;missing:NOT_FOUND;missing:beta,hard checks failed: missing:first paragraph;missing:plus more;missing:NOT_FOUND;missing:beta,0.054,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_SDF_Code/Qwen_SDF06/F001.c
F002,Dynamic text buffers,tag collector concat/remove/report,Qwen,Security Design First,06,Qwen_SDF06,compiled,passed,1,1,1,test_match,,,,0.043,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_SDF_Code/Qwen_SDF06/F002.c
F003,Dynamic text buffers,alias define/rename/erase/dump,Qwen,Security Design First,06,Qwen_SDF06,compiled,passed,1,1,1,test_match,,,,0.041,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_SDF_Code/Qwen_SDF06/F003.c
F004,Dynamic text buffers,template render and unset,Qwen,Security Design First,06,Qwen_SDF06,compiled,failed,0,0,0,implementation_error,missing:Hello Alice in Paris and {missing};missing:City is {city},missing:Hello Alice in Paris and {missing};missing:City is {city},hard checks failed: missing:Hello Alice in Paris and {missing};missing:City is {city},0.041,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_SDF_Code/Qwen_SDF06/F004.c
F005,Dynamic text buffers,line editor insert/patch/delete,Qwen,Security Design First,06,Qwen_SDF06,compiled,passed,1,1,1,test_match,,,,0.042,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_SDF_Code/Qwen_SDF06/F005.c
F006,Dynamic arrays and capacity growth,inventory add/take/count/report,Qwen,Security Design First,06,Qwen_SDF06,compiled,passed,1,1,1,test_match,,,,0.041,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_SDF_Code/Qwen_SDF06/F006.c
F007,Dynamic arrays and capacity growth,activity log find/sort/delete,Qwen,Security Design First,06,Qwen_SDF06,compiled,passed,1,1,1,test_match,,,,0.042,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_SDF_Code/Qwen_SDF06/F007.c
F008,Dynamic arrays and capacity growth,gradebook update/drop/average,Qwen,Security Design First,06,Qwen_SDF06,compiled,passed,1,1,1,test_match,,,,0.039,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_SDF_Code/Qwen_SDF06/F008.c
F009,Dynamic arrays and capacity growth,grouped event merge/delete/count,Qwen,Security Design First,06,Qwen_SDF06,compiled,passed,1,1,1,test_match,,,,0.040,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_SDF_Code/Qwen_SDF06/F009.c
F010,Dynamic arrays and capacity growth,name-to-list add/remove/values/keys,Qwen,Security Design First,06,Qwen_SDF06,compiled,passed,1,1,1,test_match,,,,0.040,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_SDF_Code/Qwen_SDF06/F010.c
