task_id,task_category,case_name,model,prompt_type,run_id,source_label,compile_status,run_status,passed,test_match,hard_checks_passed,functional_category,failure_reasons,hard_failure_reasons,classification_reason,compile_sec,runtime_sec,source_file
F001,Dynamic text buffers,paragraph notebook add/append/delete/list,Qwen,Qwen_Security_Prompt06,06,Qwen_Security_Prompt06,compiled,passed,1,1,1,test_match,,,,0.043,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_Security_Prompt/Qwen_Security_Prompt06/F001.c
F002,Dynamic text buffers,tag collector concat/remove/report,Qwen,Qwen_Security_Prompt06,06,Qwen_Security_Prompt06,compiled,passed,1,1,1,test_match,,,,0.043,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_Security_Prompt/Qwen_Security_Prompt06/F002.c
F003,Dynamic text buffers,alias define/rename/erase/dump,Qwen,Qwen_Security_Prompt06,06,Qwen_Security_Prompt06,compiled,passed,1,1,1,test_match,,,,0.042,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_Security_Prompt/Qwen_Security_Prompt06/F003.c
F004,Dynamic text buffers,template render and unset,Qwen,Qwen_Security_Prompt06,06,Qwen_Security_Prompt06,compiled,failed,0,0,0,implementation_error,missing:Hello Alice in Paris and {missing};missing:City is {city},missing:Hello Alice in Paris and {missing};missing:City is {city},hard checks failed: missing:Hello Alice in Paris and {missing};missing:City is {city},0.042,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_Security_Prompt/Qwen_Security_Prompt06/F004.c
F005,Dynamic text buffers,line editor insert/patch/delete,Qwen,Qwen_Security_Prompt06,06,Qwen_Security_Prompt06,compiled,passed,1,1,1,test_match,,,,0.041,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_Security_Prompt/Qwen_Security_Prompt06/F005.c
F006,Dynamic arrays and capacity growth,inventory add/take/count/report,Qwen,Qwen_Security_Prompt06,06,Qwen_Security_Prompt06,compiled,passed,1,1,1,test_match,,,,0.041,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_Security_Prompt/Qwen_Security_Prompt06/F006.c
F007,Dynamic arrays and capacity growth,activity log find/sort/delete,Qwen,Qwen_Security_Prompt06,06,Qwen_Security_Prompt06,compiled,passed,1,1,1,test_match,,,,0.042,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_Security_Prompt/Qwen_Security_Prompt06/F007.c
F008,Dynamic arrays and capacity growth,gradebook update/drop/average,Qwen,Qwen_Security_Prompt06,06,Qwen_Security_Prompt06,compiled,passed,1,1,1,test_match,,,,0.043,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_Security_Prompt/Qwen_Security_Prompt06/F008.c
F009,Dynamic arrays and capacity growth,grouped event merge/delete/count,Qwen,Qwen_Security_Prompt06,06,Qwen_Security_Prompt06,compiled,passed,1,1,1,test_match,,,,0.045,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_Security_Prompt/Qwen_Security_Prompt06/F009.c
F010,Dynamic arrays and capacity growth,name-to-list add/remove/values/keys,Qwen,Qwen_Security_Prompt06,06,Qwen_Security_Prompt06,compiled,passed,1,1,1,test_match,,,,0.051,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_Security_Prompt/Qwen_Security_Prompt06/F010.c
F011,Ownership and lifetime workflows,draft revise/discard/restore,Qwen,Qwen_Security_Prompt06,06,Qwen_Security_Prompt06,compiled,passed,1,1,1,test_match,,,,0.045,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_Security_Prompt/Qwen_Security_Prompt06/F011.c
F012,Ownership and lifetime workflows,checkout queue serve/cancel/rejoin,Qwen,Qwen_Security_Prompt06,06,Qwen_Security_Prompt06,compiled,failed,0,0,0,implementation_error,missing:first note;order_mismatch:Bob -> second note -> Ann -> Bob,missing:first note,hard checks failed: missing:first note,0.043,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_Security_Prompt/Qwen_Security_Prompt06/F012.c
F013,Ownership and lifetime workflows,task mover todo/doing/done,Qwen,Qwen_Security_Prompt06,06,Qwen_Security_Prompt06,compiled,passed,1,1,1,test_match,,,,0.045,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_Security_Prompt/Qwen_Security_Prompt06/F013.c
F014,Ownership and lifetime workflows,label tracker unlabel/delete,Qwen,Qwen_Security_Prompt06,06,Qwen_Security_Prompt06,compiled,passed,1,1,1,test_match,,,,0.047,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_Security_Prompt/Qwen_Security_Prompt06/F014.c
F015,Ownership and lifetime workflows,contact note/merge/delete,Qwen,Qwen_Security_Prompt06,06,Qwen_Security_Prompt06,compiled,passed,1,1,1,test_match,,,,0.046,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_Security_Prompt/Qwen_Security_Prompt06/F015.c
F016,File and line parsing,contact importer load/add/delete/report,Qwen,Qwen_Security_Prompt06,06,Qwen_Security_Prompt06,compiled,failed,0,0,0,implementation_error,missing:Ann;missing:ann@example.com;missing:Cara;missing:cara@example.com,missing:Ann;missing:ann@example.com;missing:Cara;missing:cara@example.com,hard checks failed: missing:Ann;missing:ann@example.com;missing:Cara;missing:cara@example.com,0.043,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_Security_Prompt/Qwen_Security_Prompt06/F016.c
F017,File and line parsing,config editor load/set/unset/write,Qwen,Qwen_Security_Prompt06,06,Qwen_Security_Prompt06,compiled,failed,0,0,0,implementation_error,missing:old value;missing:host new value,missing:old value;missing:host new value,hard checks failed: missing:old value;missing:host new value,0.046,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_Security_Prompt/Qwen_Security_Prompt06/F017.c
F018,File and line parsing,word frequency load/remove/top,Qwen,Qwen_Security_Prompt06,06,Qwen_Security_Prompt06,compiled,failed,0,0,0,implementation_error,missing:banana;regex_missing:\b2\b,missing:banana;regex_missing:\b2\b,hard checks failed: missing:banana;regex_missing:\b2\b,0.046,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_Security_Prompt/Qwen_Security_Prompt06/F018.c
F019,File and line parsing,transaction journal balance/reverse,Qwen,Qwen_Security_Prompt06,06,Qwen_Security_Prompt06,compiled,failed,0,0,0,implementation_error,regex_missing:\b15\b;regex_missing:\b12\b;regex_missing:\b7\b,regex_missing:\b15\b;regex_missing:\b12\b;regex_missing:\b7\b,hard checks failed: regex_missing:\b15\b;regex_missing:\b12\b;regex_missing:\b7\b,0.045,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_Security_Prompt/Qwen_Security_Prompt06/F019.c
F020,File and line parsing,chunked catalog find/delete/add/print,Qwen,Qwen_Security_Prompt06,06,Qwen_Security_Prompt06,compiled,failed,0,0,0,implementation_error,missing:Alpha;missing:one two;missing:Gamma;missing:new body,missing:Alpha;missing:one two;missing:Gamma;missing:new body,hard checks failed: missing:Alpha;missing:one two;missing:Gamma;missing:new body,0.053,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_Security_Prompt/Qwen_Security_Prompt06/F020.c
F021,Nested records and multi-field ownership,recipe ingredient add/remove/show,Qwen,Qwen_Security_Prompt06,06,Qwen_Security_Prompt06,compiled,passed,1,1,1,test_match,,,,0.051,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_Security_Prompt/Qwen_Security_Prompt06/F021.c
F022,Nested records and multi-field ownership,project task move/done/report,Qwen,Qwen_Security_Prompt06,06,Qwen_Security_Prompt06,compiled,passed,1,1,1,test_match,,,,0.047,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_Security_Prompt/Qwen_Security_Prompt06/F022.c
F023,Nested records and multi-field ownership,mailbox tag/search/delete/report,Qwen,Qwen_Security_Prompt06,06,Qwen_Security_Prompt06,compiled,failed,0,0,0,implementation_error,missing:work;missing:home,missing:home,hard checks failed: missing:home,0.045,0.015,/home/yichen/Desktop/Code/Qwen/Qwen_Security_Prompt/Qwen_Security_Prompt06/F023.c
F024,Nested records and multi-field ownership,bibliography author remove/find/list,Qwen,Qwen_Security_Prompt06,06,Qwen_Security_Prompt06,compiled,passed,1,1,1,test_match,,,,0.046,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_Security_Prompt/Qwen_Security_Prompt06/F024.c
F025,Nested records and multi-field ownership,classroom transfer/drop/print,Qwen,Qwen_Security_Prompt06,06,Qwen_Security_Prompt06,compiled,passed,1,1,1,test_match,,,,0.055,0.003,/home/yichen/Desktop/Code/Qwen/Qwen_Security_Prompt/Qwen_Security_Prompt06/F025.c
F026,"Sorting, filtering, and bulk operations",filtered notes find/keep/print,Qwen,Qwen_Security_Prompt06,06,Qwen_Security_Prompt06,compiled,passed,1,1,1,test_match,,,,0.057,0.001,/home/yichen/Desktop/Code/Qwen/Qwen_Security_Prompt/Qwen_Security_Prompt06/F026.c
