file,tool,attempted,status,success,returncode,finding_count,line,severity,check_id,message,evidence,log_path
/home/yichen/Desktop/Deepseek_SDF08/F001.c,cppcheck,True,success,True,0,7,2,information,missingIncludeSystem,Include file: <stdio.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Deepseek_SDF08/F001.c|2|information|missingIncludeSystem|Include file: <stdio.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Deepseek_SDF_Results08/logs/F001_cppcheck.log
/home/yichen/Desktop/Deepseek_SDF08/F001.c,cppcheck,True,success,True,0,7,3,information,missingIncludeSystem,Include file: <stdlib.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Deepseek_SDF08/F001.c|3|information|missingIncludeSystem|Include file: <stdlib.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Deepseek_SDF_Results08/logs/F001_cppcheck.log
/home/yichen/Desktop/Deepseek_SDF08/F001.c,cppcheck,True,success,True,0,7,4,information,missingIncludeSystem,Include file: <string.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Deepseek_SDF08/F001.c|4|information|missingIncludeSystem|Include file: <string.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Deepseek_SDF_Results08/logs/F001_cppcheck.log
/home/yichen/Desktop/Deepseek_SDF08/F001.c,cppcheck,True,success,True,0,7,5,information,missingIncludeSystem,Include file: <ctype.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Deepseek_SDF08/F001.c|5|information|missingIncludeSystem|Include file: <ctype.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Deepseek_SDF_Results08/logs/F001_cppcheck.log
/home/yichen/Desktop/Deepseek_SDF08/F001.c,cppcheck,True,success,True,0,7,129,style,constVariablePointer,Variable 'id_start' can be declared as pointer to const,/home/yichen/Desktop/Deepseek_SDF08/F001.c|129|style|constVariablePointer|Variable 'id_start' can be declared as pointer to const,/home/yichen/Desktop/Deepseek_SDF_Results08/logs/F001_cppcheck.log
/home/yichen/Desktop/Deepseek_SDF08/F001.c,cppcheck,True,success,True,0,7,125,style,unusedVariable,Unused variable: text,/home/yichen/Desktop/Deepseek_SDF08/F001.c|125|style|unusedVariable|Unused variable: text,/home/yichen/Desktop/Deepseek_SDF_Results08/logs/F001_cppcheck.log
nofile,cppcheck,True,success,True,0,7,0,information,checkersReport,Active checkers: 113/592 (use --checkers-report=<filename> to see details),nofile|0|information|checkersReport|Active checkers: 113/592 (use --checkers-report=<filename> to see details),/home/yichen/Desktop/Deepseek_SDF_Results08/logs/F001_cppcheck.log
/home/yichen/Desktop/Deepseek_SDF08/F002.c,cppcheck,True,success,True,0,11,2,information,missingIncludeSystem,Include file: <stdio.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Deepseek_SDF08/F002.c|2|information|missingIncludeSystem|Include file: <stdio.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Deepseek_SDF_Results08/logs/F002_cppcheck.log
/home/yichen/Desktop/Deepseek_SDF08/F002.c,cppcheck,True,success,True,0,11,3,information,missingIncludeSystem,Include file: <stdlib.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Deepseek_SDF08/F002.c|3|information|missingIncludeSystem|Include file: <stdlib.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Deepseek_SDF_Results08/logs/F002_cppcheck.log
/home/yichen/Desktop/Deepseek_SDF08/F002.c,cppcheck,True,success,True,0,11,4,information,missingIncludeSystem,Include file: <string.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Deepseek_SDF08/F002.c|4|information|missingIncludeSystem|Include file: <string.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Deepseek_SDF_Results08/logs/F002_cppcheck.log
/home/yichen/Desktop/Deepseek_SDF08/F002.c,cppcheck,True,success,True,0,11,5,information,missingIncludeSystem,Include file: <ctype.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Deepseek_SDF08/F002.c|5|information|missingIncludeSystem|Include file: <ctype.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Deepseek_SDF_Results08/logs/F002_cppcheck.log
/home/yichen/Desktop/Deepseek_SDF08/F002.c,cppcheck,True,success,True,0,11,42,style,constVariablePointer,Variable 'm1' can be declared as pointer to const,/home/yichen/Desktop/Deepseek_SDF08/F002.c|42|style|constVariablePointer|Variable 'm1' can be declared as pointer to const,/home/yichen/Desktop/Deepseek_SDF_Results08/logs/F002_cppcheck.log
/home/yichen/Desktop/Deepseek_SDF08/F002.c,cppcheck,True,success,True,0,11,43,style,constVariablePointer,Variable 'm2' can be declared as pointer to const,/home/yichen/Desktop/Deepseek_SDF08/F002.c|43|style|constVariablePointer|Variable 'm2' can be declared as pointer to const,/home/yichen/Desktop/Deepseek_SDF_Results08/logs/F002_cppcheck.log
/home/yichen/Desktop/Deepseek_SDF08/F002.c,cppcheck,True,success,True,0,11,113,style,constVariablePointer,Variable 'tag' can be declared as pointer to const,/home/yichen/Desktop/Deepseek_SDF08/F002.c|113|style|constVariablePointer|Variable 'tag' can be declared as pointer to const,/home/yichen/Desktop/Deepseek_SDF_Results08/logs/F002_cppcheck.log
/home/yichen/Desktop/Deepseek_SDF08/F002.c,cppcheck,True,success,True,0,11,121,style,constVariablePointer,Variable 'tag1' can be declared as pointer to const,/home/yichen/Desktop/Deepseek_SDF08/F002.c|121|style|constVariablePointer|Variable 'tag1' can be declared as pointer to const,/home/yichen/Desktop/Deepseek_SDF_Results08/logs/F002_cppcheck.log
/home/yichen/Desktop/Deepseek_SDF08/F002.c,cppcheck,True,success,True,0,11,127,style,constVariablePointer,Variable 'tag2' can be declared as pointer to const,/home/yichen/Desktop/Deepseek_SDF08/F002.c|127|style|constVariablePointer|Variable 'tag2' can be declared as pointer to const,/home/yichen/Desktop/Deepseek_SDF_Results08/logs/F002_cppcheck.log
/home/yichen/Desktop/Deepseek_SDF08/F002.c,cppcheck,True,success,True,0,11,133,style,constVariablePointer,Variable 'newtag' can be declared as pointer to const,/home/yichen/Desktop/Deepseek_SDF08/F002.c|133|style|constVariablePointer|Variable 'newtag' can be declared as pointer to const,/home/yichen/Desktop/Deepseek_SDF_Results08/logs/F002_cppcheck.log
nofile,cppcheck,True,success,True,0,11,0,information,checkersReport,Active checkers: 113/592 (use --checkers-report=<filename> to see details),nofile|0|information|checkersReport|Active checkers: 113/592 (use --checkers-report=<filename> to see details),/home/yichen/Desktop/Deepseek_SDF_Results08/logs/F002_cppcheck.log
/home/yichen/Desktop/Deepseek_SDF08/F003.c,cppcheck,True,success,True,0,8,2,information,missingIncludeSystem,Include file: <stdio.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Deepseek_SDF08/F003.c|2|information|missingIncludeSystem|Include file: <stdio.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Deepseek_SDF_Results08/logs/F003_cppcheck.log
/home/yichen/Desktop/Deepseek_SDF08/F003.c,cppcheck,True,success,True,0,8,3,information,missingIncludeSystem,Include file: <stdlib.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Deepseek_SDF08/F003.c|3|information|missingIncludeSystem|Include file: <stdlib.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Deepseek_SDF_Results08/logs/F003_cppcheck.log
/home/yichen/Desktop/Deepseek_SDF08/F003.c,cppcheck,True,success,True,0,8,4,information,missingIncludeSystem,Include file: <string.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Deepseek_SDF08/F003.c|4|information|missingIncludeSystem|Include file: <string.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Deepseek_SDF_Results08/logs/F003_cppcheck.log
/home/yichen/Desktop/Deepseek_SDF08/F003.c,cppcheck,True,success,True,0,8,5,information,missingIncludeSystem,Include file: <ctype.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Deepseek_SDF08/F003.c|5|information|missingIncludeSystem|Include file: <ctype.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Deepseek_SDF_Results08/logs/F003_cppcheck.log
/home/yichen/Desktop/Deepseek_SDF08/F003.c,cppcheck,True,success,True,0,8,116,style,constVariablePointer,Variable 'name' can be declared as pointer to const,/home/yichen/Desktop/Deepseek_SDF08/F003.c|116|style|constVariablePointer|Variable 'name' can be declared as pointer to const,/home/yichen/Desktop/Deepseek_SDF_Results08/logs/F003_cppcheck.log
/home/yichen/Desktop/Deepseek_SDF08/F003.c,cppcheck,True,success,True,0,8,126,style,constVariablePointer,Variable 'old' can be declared as pointer to const,/home/yichen/Desktop/Deepseek_SDF08/F003.c|126|style|constVariablePointer|Variable 'old' can be declared as pointer to const,/home/yichen/Desktop/Deepseek_SDF_Results08/logs/F003_cppcheck.log
/home/yichen/Desktop/Deepseek_SDF08/F003.c,cppcheck,True,success,True,0,8,132,style,constVariablePointer,Variable 'new' can be declared as pointer to const,/home/yichen/Desktop/Deepseek_SDF08/F003.c|132|style|constVariablePointer|Variable 'new' can be declared as pointer to const,/home/yichen/Desktop/Deepseek_SDF_Results08/logs/F003_cppcheck.log
nofile,cppcheck,True,success,True,0,8,0,information,checkersReport,Active checkers: 113/592 (use --checkers-report=<filename> to see details),nofile|0|information|checkersReport|Active checkers: 113/592 (use --checkers-report=<filename> to see details),/home/yichen/Desktop/Deepseek_SDF_Results08/logs/F003_cppcheck.log
/home/yichen/Desktop/Deepseek_SDF08/F004.c,cppcheck,True,success,True,0,7,2,information,missingIncludeSystem,Include file: <stdio.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Deepseek_SDF08/F004.c|2|information|missingIncludeSystem|Include file: <stdio.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Deepseek_SDF_Results08/logs/F004_cppcheck.log
/home/yichen/Desktop/Deepseek_SDF08/F004.c,cppcheck,True,success,True,0,7,3,information,missingIncludeSystem,Include file: <stdlib.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Deepseek_SDF08/F004.c|3|information|missingIncludeSystem|Include file: <stdlib.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Deepseek_SDF_Results08/logs/F004_cppcheck.log
