file,tool,attempted,status,success,returncode,finding_count,line,severity,check_id,message,evidence,log_path
/home/yichen/Desktop/Gemini_GSCP05/F001.c,cppcheck,True,success,True,0,7,2,information,missingIncludeSystem,Include file: <stdio.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Gemini_GSCP05/F001.c|2|information|missingIncludeSystem|Include file: <stdio.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Gemini_GSCP_Results05/logs/F001_cppcheck.log
/home/yichen/Desktop/Gemini_GSCP05/F001.c,cppcheck,True,success,True,0,7,3,information,missingIncludeSystem,Include file: <stdlib.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Gemini_GSCP05/F001.c|3|information|missingIncludeSystem|Include file: <stdlib.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Gemini_GSCP_Results05/logs/F001_cppcheck.log
/home/yichen/Desktop/Gemini_GSCP05/F001.c,cppcheck,True,success,True,0,7,4,information,missingIncludeSystem,Include file: <string.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Gemini_GSCP05/F001.c|4|information|missingIncludeSystem|Include file: <string.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Gemini_GSCP_Results05/logs/F001_cppcheck.log
/home/yichen/Desktop/Gemini_GSCP05/F001.c,cppcheck,True,success,True,0,7,54,style,constVariablePointer,Variable 'id_start' can be declared as pointer to const,/home/yichen/Desktop/Gemini_GSCP05/F001.c|54|style|constVariablePointer|Variable 'id_start' can be declared as pointer to const,/home/yichen/Desktop/Gemini_GSCP_Results05/logs/F001_cppcheck.log
/home/yichen/Desktop/Gemini_GSCP05/F001.c,cppcheck,True,success,True,0,7,85,style,constVariablePointer,Variable 'id_start' can be declared as pointer to const,/home/yichen/Desktop/Gemini_GSCP05/F001.c|85|style|constVariablePointer|Variable 'id_start' can be declared as pointer to const,/home/yichen/Desktop/Gemini_GSCP_Results05/logs/F001_cppcheck.log
/home/yichen/Desktop/Gemini_GSCP05/F001.c,cppcheck,True,success,True,0,7,107,style,constVariablePointer,Variable 'id_start' can be declared as pointer to const,/home/yichen/Desktop/Gemini_GSCP05/F001.c|107|style|constVariablePointer|Variable 'id_start' can be declared as pointer to const,/home/yichen/Desktop/Gemini_GSCP_Results05/logs/F001_cppcheck.log
nofile,cppcheck,True,success,True,0,7,0,information,checkersReport,Active checkers: 113/592 (use --checkers-report=<filename> to see details),nofile|0|information|checkersReport|Active checkers: 113/592 (use --checkers-report=<filename> to see details),/home/yichen/Desktop/Gemini_GSCP_Results05/logs/F001_cppcheck.log
/home/yichen/Desktop/Gemini_GSCP05/F002.c,cppcheck,True,success,True,0,10,2,information,missingIncludeSystem,Include file: <stdio.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Gemini_GSCP05/F002.c|2|information|missingIncludeSystem|Include file: <stdio.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Gemini_GSCP_Results05/logs/F002_cppcheck.log
/home/yichen/Desktop/Gemini_GSCP05/F002.c,cppcheck,True,success,True,0,10,3,information,missingIncludeSystem,Include file: <stdlib.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Gemini_GSCP05/F002.c|3|information|missingIncludeSystem|Include file: <stdlib.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Gemini_GSCP_Results05/logs/F002_cppcheck.log
/home/yichen/Desktop/Gemini_GSCP05/F002.c,cppcheck,True,success,True,0,10,4,information,missingIncludeSystem,Include file: <string.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Gemini_GSCP05/F002.c|4|information|missingIncludeSystem|Include file: <string.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,/home/yichen/Desktop/Gemini_GSCP_Results05/logs/F002_cppcheck.log
/home/yichen/Desktop/Gemini_GSCP05/F002.c,cppcheck,True,success,True,0,10,54,style,constVariablePointer,Variable 'tag_start' can be declared as pointer to const,/home/yichen/Desktop/Gemini_GSCP05/F002.c|54|style|constVariablePointer|Variable 'tag_start' can be declared as pointer to const,/home/yichen/Desktop/Gemini_GSCP_Results05/logs/F002_cppcheck.log
